Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
0,2.0,0.3113,"energy, water, cost, demand, solar, consumption, system, renewable, reduce, electricity",nowadays it can be assured that climate change represents an environmental danger for the planet with irreparable and unpredictable consequences in case both gas emissions as well as fossil fuel dependency does not go down population growth and its increasingly concentration in the cities turn these areas into a major consumer of energy mainly due to the residential and service sector in order to meet the heating and cooling demand in this scenario of taking advanced of renewable local resources shallow geothermal energy is presented as a renewable resource that can contribute to meet this demand with high energy and gas emissions savings in this context this work shows the art-of-state of the energy transition to a renewable energy society in spain by means of the use of shallow geothermal energy it proposes a procedure to transform the current fossil fuel consumption into renewable heating and cooling by the use of ground source heat pumps (gshp) the methodology used is based on geographical information systems (gis) and is applied in murcia region spain positive results concerning gas savings emissions are expected converting shallow geothermal energy as an energy transition ally
1,2.0,0.3689,"energy, water, cost, demand, solar, consumption, system, renewable, reduce, electricity","the agricultural sector production in developing countries is highly dependent on rains being affected by scarcity
periods and important water resource reductions in summers it is very common in countries of the mediterranean basin that need to pump water for the irrigation of crops mainly due to the problems of drought and shortage of surface water for irrigation the water pumping from the subsoil can be then assumed as annual seasonal or direct identifying different types of energy sources such as fossil fuels —mainly diesel equipment— direct supply from grid or pv power plants— isolated or connected to the grid through net-balance system—
which are required to be applied by the agricultural sector it can be affirmed that the majority of the commercially available water pumps run with electricity generated by diesel engines and renewables more specifically photovoltaic (pv) solar technologies which have become a competitive alternative to pump water with real advantages over traditional fuel-driven generators however pv water pumping (pvwp) solutions have been marginally implemented; being considered as an electric energy source mainly in remote locations or through hybrid solutions this paper describes a multidimensional methodology assessment of the different types of groundwater pumping with their potential combinations of aggregated agricultural areas aquifer depth and irrigation crop requirements to determine the optimum or suitable size for future implementation of the most advantageous system according to the aquifer depth and the water endowment defined for that this paper uses the simus method for the assessment of the different types of groundwater pumping with their potential combinations by considering specific water aspects of the spanish studied area (castilla la mancha spain)"
2,12.0,0.4433,"fuel, temperature, engine, increase, result, gas, emission, condition, study, high",oil based fuels worldwide have not just brought about the speedy consumption of available energy sources yet have likewise caused extreme air pollution the quests for a substitute fuel has prompted numerous findings because of which wide assortment of alternative fuels are available now the current investigations have revealed the utilization of vegetable oils for engines as an option for diesel fuel since there is a restriction in using vegetable oils in diesel engines because of their high viscosity and low volatility in the current work mango seed oil is converted into respective methyl ester by transesterification process tests are conducted using different blends of methyl ester of mango seed oil with diesel in a diesel engine the investigation consequences demonstrated that the memso biodiesel has comparable qualities to that of diesel the brake thermal efficiency and smoke are seen to be lower in case of memso biodiesel blends than diesel then again bsfc and nox of memso biodiesel blends are seen as higher than diesel it is observed that the combustion characteristics of methyl ester of mango seed oil blends seem to be similar with that of the diesel from this investigation it is concluded that b25 as optimized blend and could be used as an alternative fuel in a diesel engine with no engine modifications
3,14.0,0.1265,"test, composite, material, high, effect, concrete, experimental, increase, strength, result","joint member stiffness has a great influence for both static and dynamic loading for a safe mechanical design of many types of bolted- jointed member connections a three dimensional mathematical model for the jointed member system has been derived this work provides a simple mathematical technique used to calculate different types a jointed member stiffness of a bolted connections a finite element analysis is performed for the bolted joint and the model is used to predict stress field for a grey cast iron and
aluminum alloy joint member stiffness is presented against member aspect ratio in
dimensionless form results show good agreement as compared with those of used
techniques of montosh and marschke"
4,10.0,0.1745,"material, show, result, strain, model, damage, size, crack, surface, find","flow resistivity is one of the most important parameters used to describe the acoustic behavior of fibrous materials as porosity is highly used in industrial context this paper summarizes the simulation of finding the flow resistivity using computational fluid dynamics and minimizing the error between calculated and measured resistivity
the estimation is made by taking polyurethane foam as sample fibrous material and varying porosity from 070 up to 098 the cfd tool analyzes and computes different pressure value respectively flow resistivity is further verified using experimental execution in which flow resistivity is measured from pressure measurement on a sample of porous material"
5,0.0,0.2236,"network, vehicle, operation, soil, environment, base, capacity, communication, generate, article",famers do spray seeds fertilizers pesticides herbicides etc to protect crops from different insects pests diseases and have good harvests hand and fuel operated spray pumps are the most common sprayer used in nigeria the sprayer causes user fatigue due to excessive bulky and heavy construction a user can't use it for more than five (5) hours without getting tired the fuel sprayer is expensive to maintain emits carbon dioxide and harmful to our environment in this study a movable solar operated sprayer for the farming operation was designed and fabricated to overcome these difficulties the system operates in both direct mode and indirect mode in the direct mode the sprayer is operated from the electricity generated by 50w solar panel mounted on a movable frame and in the indirect mode it is operated on stored electrical energy in the lead-acid dc battery (12 v 12 ah) priming diaphragm pump of 10w or mini dc reciprocating cycle motor of 5w is used to generate the required operating pressure to spray the liquid pesticide formulations the capacity of the storage tank is 20 liters for uninterrupted operation of 251 minutes with the discharge rate of 079 l/min through the electric flexible mists high-pressure multiple sprayers with four (4) nozzles data generated from the theoretical formulae were used to fabricate the system using locally available and durable materials the sprayer was tested in farmland on two different crops after charging the battery for 3 hours in sunlight the results obtained were as follows: power conversion efficiency 204% the time required to charge the battery 288hrs time taken to spray 1 acre of land 213hrs backup time of spray 145hrs application rate 004 𝐿/𝑚2 and operating time of the battery 8hrs the results obtained show that solar sprayer was effective and will be useful in rural areas where there is no constant power supply the system is incorporated with an energy bulb and charging kit to light up the farmyard and for the operator to charge his/her phone
6,14.0,0.2959,"test, composite, material, high, effect, concrete, experimental, increase, strength, result",now a days traditional metallic and alloy material are replaced with the fiber based composite material in numerous engineering application the effect of stacking sequence on tensile and flexural properties of epoxy-based carbon and jute fiber composites has been investigated experimentally and numerically in this paper six layers of woven unidirectional jute fiber and four-layer of carbon fiber has been fabricated by vacuum assisted resin infusion process with five different stacking sequences the tensile and water absorption behaviors of the prepared composite samples were experimentally studied as per the standard of astm the obtained results from the experiments revealed that the stacking sequence of the fiber has a great effect on the tensile and water absorption properties of the composite to validate the experimental result of the tensile test the exact 3 d model of the composite laminates were imported to a finite element analysis (fea) software with the exact experimental condition the predicted fea results were compared with the experimental results and a good similarity between them has been observed
7,13.0,0.1213,"work, activity, user, wind, type, cost, include, location, platform, order",this paper presents the experiment results of the cycle work and overall performance of a new design of delivery valve in hydraulic ram a hydraulic ram comprises of two non-return valves they are well known as waste and delivery valves both mechanism propagate water hammer in cycle work of the hydraulic ram in early designs the water flow phenomenon occurring in the hydraulic ram operating process must be fully recognized for further analysis therefore a transparent acrylic material of a hydraulic ram model was utilized to simulate the flow pattern within the hydraulic ram in this study the water flow phenomenon was visualized experimentally using dyes injection method then videos and pictures recorded using slow motion video camera for investigating the hydraulic ram working cycle the transparent hydraulic ram model was the first time introduced the results show that the delivery valve with tilt-angled of 60 was the best design to produce the optimal performance of the pump system the most stagnation point of the flow directed through the delivery valve orifice the total efficiency of the hydraulic ram theoretically improved up to 24% by using the new model instead of the old one
8,5.0,0.1334,"flow, simulation, parameter, numerical, pressure, rate, method, particle, equation, force",this research article explores on the steady of the two-dimensional buoyancy effects on mhd casson fluid flow over a stretching of permeable sheet through a porous medium in the occurrence of suction/injection the central pdes are changed into odes by applying similarity transformations and the changed equations’ solutions are got by runge-kutta fourth order along with a shooting technique the working fluid flow is considered for numerous different parameters graphically it has been observed that velocity decreases temperature and concentration increase when magnetic field and permeability of porous parameter increases
9,0.0,0.1676,"network, vehicle, operation, soil, environment, base, capacity, communication, generate, article",the main objective is to develop efficient vehicle with affordable price and by using less effort to propel the vehicle style and manufacture a chair trike attachment for higher accessibility and performance of a chair user this trike is incredibly with efficiency designed and might be proven as a stronger replacement for the autochthonal models employed by the incapacitated keeping in mind the factors like safety value and performance trike for the handicap folks to be propelled by the novel link mechanism hooked up to the steering column changing into cranking victimization the advantage of leverage with correct balance and distribution of mass and centre of gravity to crank the wheel shaft for dynamical as he will use each the hands on the steering higher management of the vehicle is ensured the user will go quicker and farther (in out of doors use) levers area unit ergonomically higher for the user (less body stress induced by propulsion forces then for push rim)
